data;ora solare;valore;tipo
01/05/2016;19:45;0.64;max
02/05/2016;01:50;0.09;min
02/05/2016;06:50;0.49;max
02/05/2016;13:05;0.00;min
02/05/2016;19:40;0.69;max
03/05/2016;02:25;-0.08;min
03/05/2016;08:15;0.59;max
03/05/2016;13:55;-0.01;min
03/05/2016;20:50;0.66;max
04/05/2016;03:05;-0.09;min
04/05/2016;09:05;0.55;max
04/05/2016;15:10;-0.22;min
04/05/2016;21:30;0.75;max
05/05/2016;04:00;-0.27;min
05/05/2016;09:45;0.47;max
05/05/2016;15:10;-0.25;min
05/05/2016;22:05;0.77;max
06/05/2016;04:50;-0.30;min
06/05/2016;10:35;0.46;max
06/05/2016;15:50;-0.07;min
06/05/2016;22:30;0.86;max
07/05/2016;05:10;-0.36;min
07/05/2016;11:40;0.50;max
07/05/2016;16:20;0.06;min
07/05/2016;22:50;0.80;max
08/05/2016;06:00;-0.39;min
08/05/2016;12:35;0.59;max
08/05/2016;17:40;0.18;min
08/05/2016;23:10;0.76;max
09/05/2016;06:30;-0.35;min
09/05/2016;13:05;0.63;max
09/05/2016;18:35;0.15;min
09/05/2016;23:50;0.63;max
10/05/2016;06:30;-0.25;min
10/05/2016;14:05;0.67;max
10/05/2016;18:40;0.30;min
11/05/2016;00:20;0.58;max
11/05/2016;07:00;-0.07;min
11/05/2016;14:45;0.77;max
11/05/2016;19:55;0.48;min
12/05/2016;00:25;0.61;max
12/05/2016;08:40;0.14;min
12/05/2016;15:30;0.82;max
12/05/2016;20:45;0.45;min
12/05/2016;23:55;0.50;max
13/05/2016;10:30;0.31;min
13/05/2016;16:25;0.73;max
14/05/2016;00:50;0.41;min
14/05/2016;05:30;0.54;max
14/05/2016;12:10;0.29;min
14/05/2016;18:00;0.77;max
15/05/2016;01:05;0.33;min
15/05/2016;06:40;0.61;max
15/05/2016;12:10;0.23;min
15/05/2016;19:40;0.82;max
16/05/2016;01:45;0.27;min
16/05/2016;06:55;0.51;max
16/05/2016;12:55;0.14;min
16/05/2016;19:55;0.75;max
17/05/2016;03:15;0.15;min
17/05/2016;08:50;0.47;max
17/05/2016;13:55;0.13;min
17/05/2016;20:35;0.79;max
18/05/2016;03:35;-0.02;min
18/05/2016;09:20;0.50;max
18/05/2016;14:30;0.14;min
18/05/2016;21:00;0.83;max
19/05/2016;03:50;-0.05;min
19/05/2016;10:00;0.60;max
19/05/2016;14:35;0.23;min
19/05/2016;21:25;0.87;max
20/05/2016;04:20;-0.16;min
20/05/2016;11:05;0.51;max
20/05/2016;14:55;0.19;min
20/05/2016;21:20;0.81;max
21/05/2016;05:10;-0.29;min
21/05/2016;11:15;0.51;max
21/05/2016;16:00;0.14;min
21/05/2016;21:55;0.72;max
22/05/2016;04:55;-0.28;min
22/05/2016;11:50;0.58;max
22/05/2016;17:00;0.17;min
22/05/2016;22:30;0.74;max
23/05/2016;05:10;-0.16;min
23/05/2016;13:40;0.73;max
23/05/2016;17:00;0.34;min
23/05/2016;22:15;0.82;max
24/05/2016;06:15;-0.22;min
24/05/2016;13:15;0.64;max
24/05/2016;18:05;0.30;min
24/05/2016;23:05;0.67;max
25/05/2016;06:25;-0.25;min
25/05/2016;13:35;0.62;max
25/05/2016;18:50;0.20;min
25/05/2016;23:55;0.60;max
26/05/2016;06:45;-0.21;min
26/05/2016;13:55;0.50;max
26/05/2016;18:55;0.22;min
27/05/2016;00:30;0.52;max
27/05/2016;07:20;-0.11;min
27/05/2016;15:20;0.48;max
27/05/2016;20:25;0.28;min
28/05/2016;01:05;0.48;max
