Data;Ora solare;Valore;Tipo
20/06/2011;20:15;27; min
21/06/2011;00:25;47; max
21/06/2011;07:20;-16; min
21/06/2011;15:20;63; max
21/06/2011;21:30;20; min
22/06/2011;01:25;35; max
22/06/2011;07:35;-9; min
22/06/2011;15:50;58; max
22/06/2011;22:45;20; min
23/06/2011;02:10;27; max
23/06/2011;08:10;4; min
23/06/2011;16:50;63; max
24/06/2011;00:15;16; min
24/06/2011;04:55;22; max
24/06/2011;09:15;12; min
24/06/2011;18:10;62; max
25/06/2011;01:00;7; min
25/06/2011;06:45;22; max
25/06/2011;11:30;9; min
25/06/2011;17:50;57; max
26/06/2011;01:55;-13; min
26/06/2011;08:45;32; max
26/06/2011;12:35;18; min
26/06/2011;18:30;53; max
27/06/2011;02:20;-20; min
27/06/2011;09:15;41; max
27/06/2011;13:50;16; min
27/06/2011;19:40;53; max
28/06/2011;02:55;-19; min
28/06/2011;09:25;48; max
28/06/2011;14:30;14; min
28/06/2011;20:30;62; max
29/06/2011;03:40;-17; min
29/06/2011;10:25;51; max
29/06/2011;15:05;11; min
29/06/2011;21:30;70; max
30/06/2011;04:40;-26; min
30/06/2011;11:00;54; max
30/06/2011;15:45;17; min
30/06/2011;22:05;81; max
01/07/2011;05:30;-31; min
01/07/2011;11:40;54; max
01/07/2011;16:20;20; min
01/07/2011;22:30;81; max
02/07/2011;05:50;-36; min
02/07/2011;12:30;63; max
02/07/2011;17:10;24; min
02/07/2011;22:35;73; max
03/07/2011;06:05;-35; min
03/07/2011;13:20;69; max
03/07/2011;18:30;28; min
03/07/2011;23:35;70; max
04/07/2011;06:30;-26; min
04/07/2011;13:40;75; max
04/07/2011;19:00;24; min
05/07/2011;00:15;67; max
05/07/2011;07:15;-16; min
05/07/2011;13:45;77; max
05/07/2011;19:50;20; min
06/07/2011;00:15;52; max
06/07/2011;07:25;-12; min
06/07/2011;14:45;75; max
06/07/2011;20:40;17; min
07/07/2011;01:30;40; max
07/07/2011;07:40;2; min
07/07/2011;15:25;72; max
07/07/2011;22:10;14; min
08/07/2011;03:35;36; max
08/07/2011;08:45;12; min
08/07/2011;16:20;74; max
08/07/2011;23:45;10; min
09/07/2011;05:35;30; max
09/07/2011;09:35;20; min
09/07/2011;16:50;70; max
10/07/2011;01:35;-1; min
10/07/2011;08:30;36; max
10/07/2011;11:55;28; min
10/07/2011;18:30;67; max
11/07/2011;02:40;-15; min
11/07/2011;09:35;46; max
11/07/2011;13:25;25; min
11/07/2011;19:35;71; max
12/07/2011;03:10;-21; min
12/07/2011;09:50;52; max
12/07/2011;14:20;23; min
12/07/2011;20:25;72; max
13/07/2011;03:45;-21; min
13/07/2011;10:40;63; max
13/07/2011;15:35;32; min
13/07/2011;21:35;86; max
14/07/2011;04:45;-11; min
14/07/2011;11:30;72; max
14/07/2011;16:20;30; min
14/07/2011;22:00;87; max
15/07/2011;05:05;-22; min
15/07/2011;11:50;63; max
15/07/2011;16:50;21; min
15/07/2011;22:45;82; max
16/07/2011;05:40;-24; min
16/07/2011;12:25;61; max
16/07/2011;17:25;20; min
16/07/2011;22:55;79; max
17/07/2011;06:10;-25; min
17/07/2011;13:20;65; max
17/07/2011;17:45;28; min
17/07/2011;23:10;81; max
18/07/2011;06:50;-20; min
18/07/2011;13:40;72; max
18/07/2011;18:40;30; min
18/07/2011;23:45;66; max
19/07/2011;06:40;-20; min
19/07/2011;14:00;69; max
19/07/2011;19:15;28; min
20/07/2011;00:00;60; max
20/07/2011;06:55;-9; min
20/07/2011;14:05;69; max
20/07/2011;19:35;29; min
21/07/2011;00:15;48; max
21/07/2011;07:15;2; min
21/07/2011;15:15;76; max
21/07/2011;20:45;27; min
22/07/2011;01:45;44; max
22/07/2011;07:25;9; min
22/07/2011;16:10;69; max
22/07/2011;22:30;31; min
23/07/2011;02:20;45; max
23/07/2011;08:40;16; min
23/07/2011;16:10;73; max
24/07/2011;04:00;21; min
24/07/2011;17:20;67; max
25/07/2011;02:40;14; min
