data;ora solare;valore;tipo;;
20/05/2013;01:55;0.09;min;;
20/05/2013;08:15;0.58;max;;
20/05/2013;13:10;0.25;min;;
20/05/2013;19:05;0.69;max;;
21/05/2013;02:05;0.04;min;;
21/05/2013;08:15;0.55;max;;
21/05/2013;13:45;0.10;min;;
21/05/2013;20:10;0.86;max;;
22/05/2013;03:00;0.00;min;;
22/05/2013;09:00;0.60;max;;
22/05/2013;14:10;0.08;min;;
22/05/2013;20:45;0.91;max;;
23/05/2013;03:20;0.12;min;;
23/05/2013;09:45;0.84;max;;
23/05/2013;14:40;0.35;min;;
23/05/2013;21:35;1.12;max;;
24/05/2013;04:10;0.06;min;;
24/05/2013;11:00;1.01;max;;
24/05/2013;15:30;0.51;min;;
24/05/2013;21:10;1.05;max;;
25/05/2013;04:55;-0.21;min;;
25/05/2013;12:25;0.87;max;;
25/05/2013;17:00;0.44;min;;
25/05/2013;21:55;0.94;max;;
26/05/2013;05:45;-0.19;min;;
26/05/2013;12:55;0.81;max;;
26/05/2013;17:40;0.36;min;;
26/05/2013;22:55;0.87;max;;
27/05/2013;06:10;-0.09;min;;
27/05/2013;13:05;0.73;max;;
27/05/2013;18:10;0.29;min;;
28/05/2013;00:10;0.91;max;;
28/05/2013;07:10;-0.10;min;;
28/05/2013;14:00;0.62;max;;
28/05/2013;18:10;0.32;min;;
28/05/2013;23:55;0.80;max;;
29/05/2013;07:35;-0.03;min;;
29/05/2013;16:05;0.71;max;;
29/05/2013;21:05;0.47;min;;
30/05/2013;00:50;0.60;max;;
30/05/2013;08:15;-0.09;min;;
30/05/2013;16:35;0.80;max;;
30/05/2013;23:15;0.39;min;;
31/05/2013;02:05;0.44;max;;
31/05/2013;08:35;0.00;min;;
31/05/2013;17:40;0.91;max;;
01/06/2013;00:30;0.31;min;;
01/06/2013;04:35;0.34;max;;
01/06/2013;09:25;0.21;min;;
01/06/2013;16:45;0.80;max;;
02/06/2013;01:05;0.17;min;;
02/06/2013;07:20;0.44;max;;
02/06/2013;10:55;0.37;min;;
02/06/2013;18:40;0.74;max;;
03/06/2013;01:55;0.05;min;;
03/06/2013;07:30;0.53;max;;
03/06/2013;12:50;0.21;min;;
03/06/2013;19:25;0.71;max;;
