data;ora solare;valore;tipo;
09/06/2014;19:45;0.63;max;
10/06/2014;03:15;-0.21;min;
10/06/2014;09:45;0.43;max;
10/06/2014;14:25;0.11;min;
10/06/2014;20:40;0.73;max;
11/06/2014;03:55;-0.26;min;
11/06/2014;10:35;0.50;max;
11/06/2014;15:05;0.12;min;
11/06/2014;21:15;0.78;max;
12/06/2014;04:30;-0.35;min;
12/06/2014;11:00;0.50;max;
12/06/2014;15:40;0.14;min;
12/06/2014;20:55;0.76;max;
13/06/2014;04:55;-0.40;min;
13/06/2014;12:00;0.56;max;
13/06/2014;16:15;0.17;min;
13/06/2014;22:25;0.80;max;
14/06/2014;05:25;-0.32;min;
14/06/2014;12:55;0.68;max;
14/06/2014;18:00;0.24;min;
14/06/2014;22:50;0.74;max;
15/06/2014;06:00;-0.25;min;
15/06/2014;13:35;0.78;max;
15/06/2014;18:40;0.32;min;
15/06/2014;23:40;0.77;max;
16/06/2014;07:00;-0.15;min;
16/06/2014;14:15;0.81;max;
16/06/2014;19:50;0.30;min;
17/06/2014;00:45;0.69;max;
17/06/2014;07:15;-0.07;min;
17/06/2014;14:45;0.78;max;
17/06/2014;20:25;0.27;min;
18/06/2014;01:15;0.63;max;
18/06/2014;07:50;0.02;min;
18/06/2014;15:00;0.71;max;
18/06/2014;21:45;0.24;min;
19/06/2014;02:40;0.41;max;
19/06/2014;08:50;0.10;min;
19/06/2014;16:40;0.69;max;
19/06/2014;23:35;0.20;min;
20/06/2014;04:15;0.41;max;
20/06/2014;09:55;0.14;min;
20/06/2014;17:55;0.74;max;
21/06/2014;00:25;0.21;min;
21/06/2014;05:40;0.53;max;
21/06/2014;11:10;0.18;min;
21/06/2014;18:25;0.76;max;
22/06/2014;01:55;0.07;min;
22/06/2014;07:50;0.45;max;
22/06/2014;12:00;0.24;min;
22/06/2014;19:20;0.80;max;
23/06/2014;02:40;-0.02;min;
23/06/2014;08:40;0.48;max;
23/06/2014;13:40;0.26;min;
23/06/2014;19:55;0.84;max;
24/06/2014;03:35;-0.11;min;
24/06/2014;09:40;0.61;max;
24/06/2014;14:35;0.26;min;
24/06/2014;20:45;0.90;max;
25/06/2014;03:50;-0.15;min;
25/06/2014;10:15;0.68;max;
25/06/2014;15:20;0.34;min;
25/06/2014;21:15;0.95;max;
26/06/2014;04:25;-0.14;min;
26/06/2014;11:10;0.69;max;
26/06/2014;15:40;0.32;min;
26/06/2014;22:00;0.89;max;
27/06/2014;05:10;-0.16;min;
27/06/2014;11:55;0.70;max;
27/06/2014;16:30;0.32;min;
27/06/2014;22:05;0.83;max;
28/06/2014;05:20;-0.19;min;
28/06/2014;12:25;0.73;max;
28/06/2014;17:25;0.31;min;
28/06/2014;22:40;0.80;max;
29/06/2014;05:55;-0.15;min;
29/06/2014;12:50;0.79;max;
29/06/2014;17:55;0.38;min;
29/06/2014;23:30;0.86;max;
30/06/2014;06:25;-0.11;min;
30/06/2014;12:55;0.77;max;
30/06/2014;17:45;0.25;min;
30/06/2014;23:15;0.80;max;
01/07/2014;06:50;-0.03;min;
01/07/2014;13:20;0.68;max;
01/07/2014;18:40;0.34;min;
01/07/2014;23:50;0.58;max;
02/07/2014;07:15;-0.01;min;
02/07/2014;14:35;0.69;max;
02/07/2014;19:50;0.30;min;
03/07/2014;00:55;0.53;max;
03/07/2014;07:25;-0.03;min;
03/07/2014;15:00;0.62;max;
03/07/2014;20:25;0.11;min;
04/07/2014;01:25;0.37;max;
04/07/2014;07:40;-0.06;min;
04/07/2014;15:00;0.60;max;
04/07/2014;21:05;0.19;min;
05/07/2014;03:35;0.40;max;
05/07/2014;07:55;0.16;min;
05/07/2014;16:25;0.67;max;
05/07/2014;23:35;0.23;min;
06/07/2014;03:35;0.33;max;
06/07/2014;10:50;0.24;min;
06/07/2014;17:35;0.68;max;
07/07/2014;01:35;0.12;min;
07/07/2014;07:40;0.45;max;
07/07/2014;11:50;0.24;min;
07/07/2014;19:25;0.79;max;
08/07/2014;02:15;0.05;min;
08/07/2014;09:15;0.52;max;
08/07/2014;13:25;0.43;min;
08/07/2014;17:50;0.89;max;
09/07/2014;03:45;-0.03;min;
09/07/2014;09:50;0.51;max;
09/07/2014;13:35;0.33;min;
09/07/2014;20:10;0.90;max;
10/07/2014;04:00;-0.10;min;
10/07/2014;10:35;0.61;max;
10/07/2014;14:40;0.39;min;
10/07/2014;20:40;1.00;max;
11/07/2014;04:35;-0.26;min;
11/07/2014;11:25;0.74;max;
