Data;Ora;Valore;Tipo;ID staz
1998-06-29;0:35;49;max;00251
1998-06-29;7:50;-16;min;00251
1998-06-29;14:55;59;max;00251
1998-06-29;20:15;20;min;00251
1998-06-30;1:10;42;max;00251
1998-06-30;7:15;-9;min;00251
1998-06-30;16:05;63;max;00251
1998-06-30;22:30;22;min;00251
1998-07-01;1:15;38;max;00251
1998-07-01;8:50;-5;min;00251
1998-07-01;16:10;57;max;00251
1998-07-01;23:45;25;min;00251
1998-07-02;3:45;39;max;00251
1998-07-02;10:35;17;min;00251
1998-07-02;18:45;62;max;00251
1998-07-03;1:15;16;min;00251
1998-07-03;7:55;33;max;00251
1998-07-03;11:20;20;min;00251
1998-07-03;18:05;72;max;00251
1998-07-04;3:35;3;min;00251
1998-07-04;7:35;25;max;00251
1998-07-04;11:55;8;min;00251
1998-07-04;19:20;63;max;00251
1998-07-05;3:20;-9;min;00251
1998-07-05;9:25;42;max;00251
1998-07-05;13:55;23;min;00251
1998-07-05;19:50;73;max;00251
1998-07-06;3:30;-16;min;00251
1998-07-06;9:40;51;max;00251
1998-07-06;14:25;26;min;00251
1998-07-06;20:10;83;max;00251
1998-07-07;3:50;-17;min;00251
1998-07-07;10:25;60;max;00251
1998-07-07;14:25;31;min;00251
1998-07-07;20:40;92;max;00251
1998-07-08;4:25;-15;min;00251
1998-07-08;10:40;68;max;00251
1998-07-08;14:55;24;min;00251
1998-07-08;21:35;84;max;00251
1998-07-09;4:40;-29;min;00251
1998-07-09;11:45;52;max;00251
1998-07-09;15:45;24;min;00251
1998-07-09;22:10;78;max;00251
1998-07-10;5:20;-26;min;00251
1998-07-10;12:25;71;max;00251
1998-07-10;17:50;22;min;00251
1998-07-10;23:05;73;max;00251
1998-07-11;6:00;-29;min;00251
1998-07-11;12:50;73;max;00251
1998-07-11;18:00;20;min;00251
1998-07-11;23:35;79;max;00251
1998-07-12;6:30;-29;min;00251
1998-07-12;13:15;64;max;00251
1998-07-12;18:25;18;min;00251
1998-07-12;23:45;68;max;00251
1998-07-13;6:30;-31;min;00251
1998-07-13;14:15;62;max;00251
1998-07-13;19:20;20;min;00251
1998-07-14;0:40;60;max;00251
1998-07-14;7:05;-20;min;00251
1998-07-14;15:00;59;max;00251
1998-07-14;20:10;16;min;00251
1998-07-15;1:25;52;max;00251
1998-07-15;8:15;-17;min;00251
1998-07-15;15:00;68;max;00251
1998-07-15;22:05;11;min;00251
1998-07-16;2:50;30;max;00251
1998-07-16;8:05;-5;min;00251
